codigo,nombre,horas_presenciales,horas_mixtas,horas_autonomas,cantidad_creditos,semestre
INFO1120,PROGRAMACIÓN I,3,2,5,6,1
INFO1139,PROGRAMACIÓN DE ROBOT,3,2,5,6,1
INFO1122,INTRODUCCIÓN A LOS SISTEMAS DE BASE DE DATOS,3,2,5,6,1
INFO1116,MANTENCIÓN Y ADMINISTRACIÓN DE SISTEMAS,3,2,5,6,2
INFO1123,PROGRAMACIÓN II,3,2,5,6,2
INFO1118,DESARROLLO WEB,3,2,5,6,2
INFO1170,TALLER DE INTEGRACIÓN I,2,1,2,3,2
INFO1154,INTERCONEXIÓN DE REDES,3,2,3,5,3
INFO1126,PROGRAMACIÓN III,3,2,5,6,3
INFO1155,ARQUITECTURA DE HARDWARE,3,2,3,5,3
INFO1156,DISEÑO DE SOFTWARE,3,2,5,6,3
INFO1157,SISTEMAS INTELIGENTES,3,2,5,6,4
INFO1128,INTERFACES GRÁFICA DE USUARIOS,3,2,5,6,4
INFO1158,TEORÍA DE GRAFOS,2,1,5,5,4
INFO1171,TALLER DE INTEGRACIÓN II,2,1,2,3,4
INFO1108,SISTEMAS DE COMPUTACIÓN Y PLATAFORMA TECNOLÓGICA,2,1,5,5,5
INFO1159,ALGORITMOS DE OPTIMIZACIÓN,2,1,5,5,5
INFO1163,DESARROLLO DE APLICACIONES EMPRESARIALES,3,2,5,6,5
INFO1164,PRÁCTICA INICIAL,0,1,9,6,6
INFO1165,ESTADÍSTICA COMPUTACIONAL,2,1,4,4,6
INFO1166,TALLER DE INTEGRACIÓN III,2,1,2,3,6
INFO1167,ROBÓTICA,2,1,7,6,7
INFO1168,ASEGURAMIENTO DE LA INFORMACIÓN Y SEGURIDAD,2,1,7,6,7
INFO1169,TEORÍA DE SISTEMAS,2,1,7,6,7
INFO1184,INTELIGENCIA DE NEGOCIOS,2,1,5,5,7
INFO1148,TEORÍA DE LA COMPUTACIÓN,2,1,5,5,8
INFO1185,INTELIGENCIA ARTIFICIAL,2,1,7,6,8
INFO1186,TOPICOS AVANZADOS DE TECNOLOGÍA DE INFORMACIÓN I,2,2,6,6,8
INFO1187,TOPICOS AVANZADOS DE TECNOLOGÍA DE INFORMACIÓN II,2,2,6,6,8
INFO1188,TOPICOS AVANZADOS DE DESARROLLO DE SOFTWARE I,2,2,6,6,8
INFO1189,TOPICOS AVANZADOS DE DESARROLLO DE SOFTWARE II,2,2,6,6,8
INFO1162,PLANIFICACIÓN ESTRATÉGICA,2,1,5,5,8
INFO1173,TALLER DE INTEGRACIÓN IV,1,1,3,3,8
INFO1190,TALLER DE PREPARACIÓN PARA LA VIDA LABORAL,2,1,4,4,9
INFO1191,SIMULACIÓN,2,1,7,6,9
INFO1192,TOPICOS AVANZADOS DE TECNOLOGÍA DE INFORMACIÓN III,2,2,6,6,9
INFO1193,TOPICOS AVANZADOS DE TECNOLOGÍA DE INFORMACIÓN IV,2,2,6,6,9
INFO1194,TOPICOS AVANZADOS DE DESARROLLO DE SOFTWARE III,2,2,6,6,9
INFO1195,TOPICOS AVANZADOS DE DESARROLLO DE SOFTWARE IV,2,2,6,6,9
INFO1196,EVALUACIÓN DE PROYECTOS Y PLAN DE NEGOCIOS,2,1,5,5,9
INFO1197,TRABAJO DE TÍTULO,1,1,19,13,10
INFO1198,PRÁCTICA PROFESIONAL,0,2,26,17,10
